day,asset,class,outcome,payments,psp_amount,product_amount,drift,impact
2026-10-01,EUR/2,matched,ok,5,35500,35500,0,0
2026-10-01,EUR/2,unapplied_payment,pending,1,8000,0,8000,8000
2026-10-01,EUR/2,applied_before_final,pending,2,0,5000,-5000,-5000
2026-10-01,EUR/2,in_progress,ok,1,0,0,0,0
2026-10-01,EUR/2,failed,ok,1,0,0,0,0
2026-10-01,USD/2,matched,ok,1,12000,12000,0,0
2026-10-02,EUR/2,matched,ok,2,10000,10000,0,3000
2026-10-02,EUR/2,under_applied,break,1,10000,9000,1000,1000
2026-10-02,EUR/2,over_applied,break,2,10000,12000,-2000,-2000
2026-10-02,EUR/2,unapplied_payment,pending,1,4500,0,4500,4500
2026-10-02,EUR/2,unapplied_payment,break,1,8000,0,8000,0
2026-10-02,EUR/2,applied_before_final,pending,1,0,2000,-2000,0
2026-10-02,EUR/2,orphan_application,break,1,0,1500,-1500,-1500
2026-10-02,EUR/2,in_progress,ok,1,0,0,0,0
2026-10-02,EUR/2,failed,ok,1,0,0,0,0
2026-10-02,USD/2,unapplied_payment,pending,1,5000,0,5000,5000
2026-10-03,EUR/2,matched,ok,3,17000,17000,0,-6000
2026-10-03,EUR/2,over_applied,break,2,10000,12000,-2000,0
2026-10-03,EUR/2,unapplied_payment,break,2,12500,0,12500,0
2026-10-03,EUR/2,applied_before_final,pending,2,0,5500,-5500,-3500
2026-10-03,EUR/2,orphan_application,break,1,0,1500,-1500,0
2026-10-03,EUR/2,reversed_after_application,break,1,0,9000,-9000,-9000
2026-10-03,EUR/2,in_progress,ok,1,0,0,0,0
2026-10-03,USD/2,unapplied_payment,break,1,5000,0,5000,0
2026-10-04,EUR/2,matched,ok,2,6500,6500,0,3500
2026-10-04,EUR/2,under_applied,break,1,8000,5000,3000,-5000
2026-10-04,EUR/2,over_applied,break,3,14000,20000,-6000,-4000
2026-10-04,EUR/2,unapplied_payment,break,1,4500,0,4500,0
2026-10-04,EUR/2,orphan_application,break,2,0,3500,-3500,0
2026-10-04,EUR/2,reversed_after_application,break,1,0,9000,-9000,0
2026-10-04,USD/2,unapplied_payment,break,1,5000,0,5000,0
2026-10-05,EUR/2,matched,ok,1,8000,8000,0,-3000
2026-10-05,EUR/2,under_applied,break,1,3000,0,3000,3000
2026-10-05,EUR/2,over_applied,break,3,14000,20000,-6000,0
2026-10-05,EUR/2,unapplied_payment,break,1,4500,0,4500,0
2026-10-05,EUR/2,orphan_application,break,2,0,3500,-3500,0
2026-10-05,EUR/2,reversed_after_application,break,1,0,9000,-9000,0
2026-10-05,USD/2,unapplied_payment,break,1,5000,0,5000,0
2026-10-06,EUR/2,under_applied,break,1,3000,0,3000,0
2026-10-06,EUR/2,over_applied,break,3,14000,20000,-6000,0
2026-10-06,EUR/2,unapplied_payment,break,1,4500,0,4500,0
2026-10-06,EUR/2,orphan_application,break,2,0,3500,-3500,0
2026-10-06,EUR/2,reversed_after_application,break,1,0,9000,-9000,0
2026-10-06,USD/2,unapplied_payment,break,1,5000,0,5000,0
2026-10-07,EUR/2,under_applied,break,1,3000,0,3000,0
2026-10-07,EUR/2,over_applied,break,3,14000,20000,-6000,0
2026-10-07,EUR/2,unapplied_payment,break,1,4500,0,4500,0
2026-10-07,EUR/2,orphan_application,break,2,0,3500,-3500,0
2026-10-07,EUR/2,reversed_after_application,break,1,0,9000,-9000,0
2026-10-07,USD/2,unapplied_payment,break,1,5000,0,5000,0
