day,asset,verdict,open_prev,net,from_lookups,open,items,open_breaks_gross
2026-10-01,EUR/2,reconciled_with_pending,0,3000,0,3000,3,0
2026-10-01,USD/2,reconciled_with_pending,0,0,0,0,0,0
2026-10-02,EUR/2,breaks,3000,5000,0,8000,7,12500
2026-10-02,USD/2,breaks,0,5000,0,5000,1,0
2026-10-03,EUR/2,breaks,8000,-18500,5000,-5500,8,25000
2026-10-03,USD/2,breaks,5000,0,0,5000,1,5000
2026-10-04,EUR/2,breaks,-5500,-5500,0,-11000,8,26000
2026-10-04,USD/2,breaks,5000,0,0,5000,1,5000
2026-10-05,EUR/2,breaks,-11000,0,0,-11000,8,26000
2026-10-05,USD/2,breaks,5000,0,0,5000,1,5000
2026-10-06,EUR/2,breaks,-11000,0,0,-11000,8,26000
2026-10-06,USD/2,breaks,5000,0,0,5000,1,5000
2026-10-07,EUR/2,breaks,-11000,0,0,-11000,8,26000
2026-10-07,USD/2,breaks,5000,0,0,5000,1,5000
