day,side,prefix,asset,bucket,holds,amount,stuck,wrong_sign
2026-10-01,product,main:hold:invoice:,EUR/2,0-1d,6,30500,0,0
2026-10-01,product,main:hold:invoice:,USD/2,0-1d,1,5000,0,0
2026-10-01,psp,fpay:stripe:payment:hold:pending:,EUR/2,0-1d,3,12000,0,0
2026-10-02,product,main:hold:invoice:,EUR/2,0-1d,8,22500,0,2
2026-10-02,product,main:hold:invoice:,EUR/2,2-7d,1,5000,0,0
2026-10-02,product,main:hold:invoice:,USD/2,0-1d,1,5000,0,0
2026-10-02,product,main:hold:refund:,EUR/2,0-1d,1,2000,0,0
2026-10-02,psp,fpay:stripe:payment:hold:pending:,EUR/2,0-1d,2,5500,0,0
2026-10-03,product,main:hold:invoice:,EUR/2,2-7d,3,17000,0,0
2026-10-03,product,main:hold:invoice:,EUR/2,0-1d,2,3500,0,0
2026-10-03,product,main:hold:invoice:,USD/2,2-7d,1,5000,0,0
2026-10-03,psp,fpay:stripe:payment:hold:pending:,EUR/2,2-7d,1,2000,0,0
2026-10-03,psp,fpay:stripe:payment:hold:pending:,EUR/2,0-1d,2,5700,0,0
2026-10-04,product,main:hold:invoice:,EUR/2,2-7d,3,9500,0,0
2026-10-04,product,main:hold:invoice:,EUR/2,0-1d,1,-4000,0,1
2026-10-04,product,main:hold:invoice:,USD/2,2-7d,1,5000,0,0
2026-10-04,psp,fpay:stripe:payment:hold:pending:,EUR/2,2-7d,1,2000,0,0
2026-10-04,psp,fpay:stripe:payment:hold:pending:,EUR/2,0-1d,1,2200,0,0
2026-10-05,product,main:hold:invoice:,EUR/2,2-7d,2,6500,0,0
2026-10-05,product,main:hold:invoice:,EUR/2,0-1d,2,-1000,0,1
2026-10-05,product,main:hold:invoice:,USD/2,2-7d,1,5000,0,0
2026-10-05,psp,fpay:stripe:payment:hold:pending:,EUR/2,2-7d,2,4200,1,0
2026-10-06,product,main:hold:invoice:,EUR/2,2-7d,3,2500,0,1
2026-10-06,product,main:hold:invoice:,EUR/2,0-1d,1,3000,0,0
2026-10-06,product,main:hold:invoice:,USD/2,2-7d,1,5000,0,0
2026-10-06,psp,fpay:stripe:payment:hold:pending:,EUR/2,2-7d,2,4200,1,0
2026-10-07,product,main:hold:invoice:,EUR/2,2-7d,4,5500,1,1
2026-10-07,product,main:hold:invoice:,USD/2,2-7d,1,5000,1,0
2026-10-07,psp,fpay:stripe:payment:hold:pending:,EUR/2,2-7d,2,4200,2,0
